model,species_key,common_name,scientific_name,rows,trials,detections,positive_locality_seasons,observed_detection_rate,mean_predicted_detection_rate,calibration_error,weighted_bce,positive_triplet_auroc,positive_triplet_auprc
train_prevalence,avibase-B60B1166,Ruby-crowned Kinglet,Corthylio calendula,36,596,135,19,0.22651006711409397,0.20960000157356262,0.016910065540531344,0.5358715957909058,0.5,0.5524712935261036
train_prevalence,avibase-BA4C8A02,Common Yellowthroat,Geothlypis trichas,36,596,48,12,0.08053691275167785,0.10719999670982361,0.02666308395814576,0.2841040697665704,0.5,0.34510843904647
train_prevalence,avibase-BBA2F9DF,Tree Swallow,Tachycineta bicolor,36,596,35,9,0.0587248322147651,0.06880000233650208,0.010075170121736976,0.2242752654954338,0.5,0.1947259435175036
train_prevalence,avibase-BC5A9498,Yellow-rumped Warbler,Setophaga coronata,36,596,93,22,0.15604026845637584,0.10559999942779541,0.050440269028580426,0.4449813882878388,0.5,0.7123654188445729
train_prevalence,avibase-BCF9A19A,Killdeer,Charadrius vociferus,36,596,36,8,0.06040268456375839,0.058666665107011795,0.0017360194567465972,0.22810112634906077,0.5,0.245632152108335
train_prevalence,avibase-BED38F50,American Redstart,Setophaga ruticilla,36,596,15,8,0.025167785234899327,0.03893333300948143,0.013765547774582103,0.12040427688772083,0.5,0.2508102766798419
train_prevalence,avibase-C3AD1AFF,Chimney Swift,Chaetura pelagica,36,596,60,17,0.10067114093959731,0.08693332970142365,0.013737811238173664,0.32769141815975644,0.5,0.41304363345979866
train_prevalence,avibase-C86D078E,Red-winged Blackbird,Agelaius phoeniceus,36,596,70,15,0.1174496644295302,0.14826667308807373,0.030817008658543532,0.3658144635966261,0.5,0.4271484435806687
train_prevalence,avibase-C8F9F2D0,Brown Thrasher,Toxostoma rufum,36,596,73,22,0.12248322147651007,0.15520000457763672,0.03271678310112665,0.37618913777611174,0.5,0.551761548707577
train_prevalence,avibase-C9ABA616,American Goldfinch,Spinus tristis,36,596,320,28,0.5369127516778524,0.4357333481311798,0.10117940354667254,0.7110183964380504,0.5,0.865283010733093
train_prevalence,avibase-CB5469E1,Carolina Wren,Thryothorus ludovicianus,36,596,455,33,0.7634228187919463,0.7343999743461609,0.0290228444457854,0.5493152043323071,0.5,0.9866078180583528
train_prevalence,avibase-CEA5B6AA,Ovenbird,Seiurus aurocapilla,36,596,77,8,0.12919463087248323,0.09546666592359543,0.0337279649488878,0.39084859685523343,0.5,0.21435472383053028
train_prevalence,avibase-D77E4B41,American Robin,Turdus migratorius,36,596,252,28,0.4228187919463087,0.29653334617614746,0.12628544577016126,0.7169913824988716,0.5,0.8186922685483405
train_prevalence,avibase-D97F93CC,White-eyed Vireo,Vireo griseus,36,596,54,14,0.09060402684563758,0.10186666995286942,0.011262643107231837,0.3046503403235657,0.5,0.34309141882488614
train_prevalence,avibase-DEC3D8D0,Ruby-throated Hummingbird,Archilochus colubris,36,596,67,15,0.11241610738255034,0.10026666522026062,0.01214944216228972,0.35232759937711783,0.5,0.3773786010806471
train_prevalence,avibase-E23F6DE0,Field Sparrow,Spizella pusilla,36,596,51,9,0.08557046979865772,0.07946666330099106,0.006103806497666661,0.2924168218248463,0.5,0.258799763433182
train_prevalence,avibase-E826E9F3,Great Black-backed Gull,Larus marinus,36,596,2,1,0.003355704697986577,0.0069333333522081375,0.0035776286542215604,0.02361673259198909,0.5,0.034482758620689655
train_prevalence,avibase-EA4D6C0B,Red-shouldered Hawk,Buteo lineatus,36,596,173,26,0.2902684563758389,0.2826666533946991,0.007601802981139827,0.6025336156408593,0.5,0.7209058796654705
train_prevalence,avibase-EB98812F,Cooper's Hawk,Astur cooperii,36,596,22,10,0.03691275167785235,0.04106666520237923,0.0041539135245268755,0.1582319538391492,0.5,0.30819697466500534
train_prevalence,avibase-EF47E15D,Boat-tailed Grackle,Quiscalus major,36,596,1,1,0.0016778523489932886,0.004800000227987766,0.0031221478789944775,0.013761771582592217,0.5,0.034482758620689655
train_prevalence,avibase-F59AB6B3,Brown Pelican,Pelecanus occidentalis,36,596,1,1,0.0016778523489932886,0.006399999838322401,0.004722147489329112,0.014885394395637344,0.5,0.034482758620689655
train_prevalence,avibase-F941AAD3,Carolina Chickadee,Poecile carolinensis,36,596,468,33,0.785234899328859,0.7413333058357239,0.04390159349313516,0.5254332697562965,0.5,0.9287137461704831
train_prevalence,avibase-FB738385,Bufflehead,Bucephala albeola,36,596,15,3,0.025167785234899327,0.014399999752640724,0.010767785482258603,0.12086431020424068,0.5,1.0
train_prevalence,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,36,596,22,9,0.03691275167785235,0.03893333300948143,0.002020581331629079,0.15806090614900412,0.5,0.27870926459161754
train_prevalence,avibase-FF9D71AF,Northern Flicker,Colaptes auratus,36,596,93,19,0.15604026845637584,0.12373333424329758,0.03230693421307826,0.43754015971438803,0.5,0.5535978662002566
availability,avibase-00124D98,Mourning Dove,Zenaida macroura,36,596,315,29,0.5285234899328859,0.4551276795116047,0.07339581042128118,0.7029914495832529,0.541871921182266,0.8271993988281817
availability,avibase-00635FF9,Pileated Woodpecker,Dryocopus pileatus,36,596,141,27,0.23657718120805368,0.2219169382380959,0.01466024296995777,0.538564798573617,0.6707818930041153,0.8750915329891753
availability,avibase-043F337A,Indigo Bunting,Passerina cyanea,36,596,48,12,0.08053691275167785,0.11039862437986288,0.02986171162818503,0.275870813014631,0.84375,0.706582276655806
availability,avibase-05FF3C9B,Dark-eyed Junco,Junco hyemalis,36,596,75,12,0.12583892617449666,0.06906907037900598,0.05676985579549068,0.3845753730974307,0.7048611111111112,0.7041523019464196
availability,avibase-0716A71C,Red-breasted Nuthatch,Sitta canadensis,36,596,4,4,0.006711409395973154,0.042368430056727975,0.03565702066075482,0.06463881356699346,0.390625,0.13601190476190478
availability,avibase-078557F2,Red-bellied Woodpecker,Melanerpes carolinus,36,596,347,31,0.5822147651006712,0.5915022610417948,0.009287495941123658,0.6565035440528066,0.8838709677419355,0.9813931118543269
availability,avibase-082D833C,Eastern Kingbird,Tyrannus tyrannus,36,596,8,5,0.013422818791946308,0.019426143975090862,0.006003325183144554,0.07061820678770074,0.7870967741935484,0.43177489177489176
availability,avibase-0CF12F81,Yellow-billed Cuckoo,Coccyzus americanus,36,596,16,4,0.026845637583892617,0.06238896154717311,0.0355433239632805,0.1341529771148083,0.859375,0.4431818181818181
availability,avibase-1327AC55,Osprey,Pandion haliaetus,36,596,6,4,0.010067114093959731,0.011092593754335437,0.0010254796603757065,0.05640034826135604,0.4921875,0.1392857142857143
availability,avibase-136451CF,Yellow-throated Warbler,Setophaga dominica,36,596,53,10,0.08892617449664429,0.06931066153658516,0.01961551296005913,0.2920867098741781,0.9115384615384615,0.8834967320261438
availability,avibase-154BCCAE,Golden-crowned Kinglet,Regulus satrapa,36,596,101,17,0.16946308724832215,0.15348698945103476,0.015976097797287397,0.4454487484381749,0.7925696594427245,0.7931284670731039
availability,avibase-15EB3000,Hooded Warbler,Setophaga citrina,36,596,18,9,0.030201342281879196,0.03792869715932631,0.007727354877447117,0.13271669242857462,0.757201646090535,0.4609777903256165
availability,avibase-19CCBBD2,White-breasted Nuthatch,Sitta carolinensis,36,596,280,25,0.4697986577181208,0.36522944721599554,0.10456921050212525,0.6987904899457285,0.7890909090909091,0.8781572615998866
availability,avibase-1B2A6386,Downy Woodpecker,Dryobates pubescens,36,596,303,30,0.5083892617449665,0.46298632690770514,0.04540293483726132,0.6818265407702736,0.8277777777777777,0.9638790383720809
availability,avibase-1DA430B8,Blue Jay,Cyanocitta cristata,36,596,291,30,0.48825503355704697,0.4638605727345351,0.024394460822511843,0.686007520920927,0.85,0.9669935679663685
availability,avibase-1E1AB415,Brown-headed Cowbird,Molothrus ater,36,596,69,16,0.11577181208053691,0.13834574354825005,0.022573931467713138,0.3515177072619536,0.7875,0.8331463675213675
availability,avibase-23863F65,Ring-billed Gull,Larus delawarensis,36,596,19,7,0.031879194630872486,0.030448010125691257,0.0014311845051812287,0.13747011749228097,0.6945812807881774,0.414935064935065
availability,avibase-240E3390,House Sparrow,Passer domesticus,36,596,6,5,0.010067114093959731,0.040150670690974534,0.030083556597014803,0.07271063787961562,0.535483870967742,0.33696916110709213
availability,avibase-2778A3F4,Acadian Flycatcher,Empidonax virescens,36,596,49,7,0.08221476510067115,0.09403908330222104,0.011824318201549888,0.274190793730775,0.6108374384236454,0.4655230208025239
availability,avibase-27B2749A,Wood Duck,Aix sponsa,36,596,19,12,0.031879194630872486,0.0561522547493145,0.024273060118442012,0.1448548688139184,0.6701388888888888,0.628471207323509
availability,avibase-2C1981BB,Northern Rough-winged Swallow,Stelgidopteryx serripennis,36,596,17,7,0.028523489932885907,0.04169587074660215,0.013172380813716245,0.1275907336755239,0.8325123152709359,0.4762445887445887
availability,avibase-3558066B,Belted Kingfisher,Megaceryle alcyon,36,596,43,16,0.07214765100671142,0.08246597587662255,0.010318324869911133,0.25964577820702917,0.578125,0.6142469007530549
availability,avibase-36B3872D,Turkey Vulture,Cathartes aura,36,596,156,29,0.26174496644295303,0.301003041883443,0.03925807544048998,0.5734283402728881,0.6009852216748769,0.8178676184376196
availability,avibase-37E9CCDA,Chipping Sparrow,Spizella passerina,36,596,125,14,0.20973154362416108,0.18783733973767133,0.021894203886489744,0.5024378084179745,0.6266233766233766,0.523646657575229
availability,avibase-39BD9FF2,White-throated Sparrow,Zonotrichia albicollis,36,596,181,20,0.3036912751677852,0.2901911303250982,0.013500144842687023,0.5901416316886896,0.80625,0.8439060058379318
